ItemIndex	Item Sub Group	Item Sub Index	Model     	Model Name                   	Item Name                          	Kind A	Kind B	Type	Two Hands	Drop Level	Slot	Skill Index	Width	Height	Damage Min	Damage Max	Defense Rate	Defense	Magic Resistance	Attack Speed	Walk Speed	Durability	Magic Dur	Magic Power	Combat Power	Req Str	Req Dex	Req Ene	Req Vit	Req Cmd	Req Lvl	Item Value	Money	Set Attr	DW	DK	FE	MG	DL	SUM	RF	GL	RW	SL	GC	LM	KM	IK	IceRes	PoisonRes	LightningRes	FireRes	EarthRes	WindRes	WaterRes	Dump	Transaction	Personal Store	Warehouse	Sell Npc	Expensive	Repair	Overlap	Pc Flag	Muun Flag	Mastery Pentagram	Pentagram Type	Pent Elem Damage	Pent Elem Defense	Elemental Defense
0        	0             	0             	Data\Item\	sword01.bmd                  	Kris                               	1     	1     	1   	0        	6         	0   	0          	0    	1     	1538      	2816      	0           	0      	0               	0           	0         	50        	0        	0          	0           	0      	40     	40     	0      	0      	0      	0         	0    	0       	0 	1 	1 	1 	1 	   	1 	1 	1 	1 	1 	1 	0 	1 	1     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	0      	1      	0        	0                	0             	0               	0                	0
1        	0             	1             	Data\Item\	sword02.bmd                  	Short Sword                        	1     	1     	1   	0        	3         	0   	0          	0    	1     	771       	1792      	0           	0      	0               	0           	0         	20        	0        	0          	0           	0      	60     	0      	0      	0      	0      	0         	0    	0       	0 	1 	1 	1 	1 	   	1 	1 	1 	1 	1 	1 	0 	1 	1     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	0      	1      	0        	0                	0             	0               	0                	0
2        	0             	2             	Data\Item\	sword03.bmd                  	Rapier                             	1     	1     	1   	0        	9         	0   	0          	0    	1     	2307      	3840      	0           	0      	0               	0           	0         	40        	0        	0          	0           	0      	50     	40     	0      	0      	0      	0         	0    	0       	0 	1 	0 	1 	1 	   	1 	1 	0 	1 	1 	1 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	0      	1      	0        	0                	0             	0               	0                	0
3        	0             	3             	Data\Item\	sword04.bmd                  	Katana                             	1     	1     	1   	0        	16        	0   	5120       	0    	1     	4099      	6656      	0           	0      	0               	0           	0         	35        	0        	0          	0           	0      	80     	40     	0      	0      	0      	0         	0    	0       	0 	1 	0 	1 	0 	   	1 	0 	0 	0 	0 	1 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	0      	1      	0        	0                	0             	0               	0                	0
4        	0             	4             	Data\Item\	sword05.bmd                  	Sword of Assassin                  	1     	1     	1   	0        	12        	0   	5376       	0    	1     	3075      	4608      	0           	0      	0               	0           	0         	30        	0        	0          	0           	0      	60     	40     	0      	0      	0      	0         	0    	0       	0 	1 	0 	1 	0 	   	1 	0 	0 	0 	0 	1 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	0      	1      	0        	0                	0             	0               	0                	0
5        	0             	5             	Data\Item\	sword06.bmd                  	Blade                              	1     	1     	1   	0        	36        	0   	5632       	0    	1     	9219      	12032     	0           	0      	0               	0           	0         	30        	0        	0          	0           	0      	80     	50     	0      	0      	0      	0         	0    	0       	0 	1 	1 	1 	1 	   	1 	0 	0 	0 	0 	1 	0 	1 	1     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	0      	1      	0        	0                	0             	0               	0                	0
6        	0             	6             	Data\Item\	sword07.bmd                  	Gladius                            	1     	1     	1   	0        	20        	0   	5120       	0    	1     	5123      	7680      	0           	0      	0               	0           	0         	20        	0        	0          	0           	0      	110    	0      	0      	0      	0      	0         	0    	0       	0 	1 	0 	1 	1 	   	1 	0 	0 	0 	0 	1 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	0      	1      	0        	0                	0             	0               	0                	0
7        	0             	7             	Data\Item\	sword08.bmd                  	Falchion                           	1     	1     	1   	0        	24        	0   	5376       	0    	1     	6147      	8704      	0           	0      	0               	0           	0         	25        	0        	0          	0           	0      	120    	0      	0      	0      	0      	0         	0    	0       	0 	1 	0 	1 	0 	   	1 	0 	0 	0 	0 	1 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	0      	1      	0        	0                	0             	0               	0                	0
8        	0             	8             	Data\Item\	sword09.bmd                  	Serpent Sword                      	1     	1     	1   	0        	30        	0   	5376       	0    	1     	7683      	10240     	0           	0      	0               	0           	0         	20        	0        	0          	0           	0      	130    	0      	0      	0      	0      	0         	0    	0       	0 	1 	0 	1 	0 	   	1 	0 	0 	0 	0 	1 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	0      	1      	0        	0                	0             	0               	0                	0
9        	0             	9             	Data\Item\	sword10.bmd                  	Sword of Salamander                	1     	1     	1   	1        	32        	0   	5120       	0    	2     	8195      	11776     	0           	0      	0               	0           	0         	30        	0        	0          	0           	0      	103    	0      	0      	0      	0      	0         	0    	0       	0 	1 	0 	1 	0 	   	0 	0 	0 	0 	0 	0 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	0      	1      	0        	0                	0             	0               	0                	0
