0		
1	20	40	40	0	0											
end																
1		
															
1	"분노I"	"분노I"	19	1	23	4	18	6	16	6	11	0	1	12	449	
																
2	"선조I"	"선조I"	19	1	28	4	29	6	30	6	11	0	2	12	450	
																
3	"영예I"	"영예I"	19	1	28	4	29	6	30	6	11	0	3	12	451	
																
4	"혈기I"	"혈기I"	19	1	28	4	29	6	30	6	11	0	4	12	452	
																
5	"현혹I"	"현혹I"	19	1	28	4	29	6	30	6	11	0	5	12	453	
																
6	"결속I"	"결속I"	19	1	28	4	29	6	30	6	11	0	6	12	454	
																
7	"신록I"	"신록I"	19	1	28	4	29	6	30	6	11	0	7	12	455	
																
															
9	"분노II"	"분노II"	9	5	17	2	15	2	14	3	12	0	1	12	457	
																
10	"선조II"	"선조II"	9	5	17	2	15	2	14	3	12	0	2	12	458	
																
11	"영예II"	"영예II"	9	5	17	2	15	2	14	3	12	0	3	12	459	
																
12	"혈기II"	"혈기II"	9	5	17	2	15	2	14	3	12	0	4	12	460	
																
13	"현혹II"	"현혹II"	9	5	17	2	15	2	14	3	12	0	5	12	461	
																
14	"결속II"	"결속II"	9	5	17	2	15	2	14	3	12	0	6	12	462	
																
15	"신록II"	"신록II"	9	5	17	2	15	2	14	3	12	0	7	12	463	
																
end																
2		
1	9	"분노I"	21	7	24	2	-1	-1								
2	10	"선조I"	21	7	24	2	-1	-1								
3	11	"영예I"	21	7	24	2	-1	-1								
4	12	"혈기I"	21	7	24	2	31	8								
5	13	"궁극I"	21	7	24	2	31	8								
6	14	"결속I"	21	7	24	2	31	8								
7	15	"신록I"	21	7	24	2	31	8								
end																
3		
0	600000	13	510	1	-1	-1	-1	-1	-1	-1	1000000					
1	600000	13	510	2	-1	-1	-1	-1	-1	-1	1500000					
2	600000	13	510	2	-1	-1	-1	-1	-1	-1	2000000					
3	600000	13	510	2	-1	-1	-1	-1	-1	-1	2500000					
4	600000	13	510	3	-1	-1	-1	-1	-1	-1	3000000					
5	600000	13	510	3	-1	-1	-1	-1	-1	-1	3500000					
6	600000	13	510	4	-1	-1	-1	-1	-1	-1	4000000					
7	800000	13	510	4	-1	-1	-1	-1	-1	-1	4500000					
8	800000	13	510	4	-1	-1	-1	-1	-1	-1	5000000					
9	800000	13	510	5	-1	-1	-1	-1	-1	-1	5500000					
10	800000	13	510	5	-1	-1	-1	-1	-1	-1	6000000					
11	800000	13	510	5	-1	-1	-1	-1	-1	-1	6500000					
12	800000	13	510	5	-1	-1	-1	-1	-1	-1	7000000					
13	800000	13	510	5	-1	-1	-1	-1	-1	-1	7500000					
14	800000	13	510	5	-1	-1	-1	-1	-1	-1	8000000					
end																
4		
0	200	1	
1	17	1	
2	4	1	
3	10	1	
4	20	1	
5	7	1	
6	35	1	
7	1	1	
0	400	2	
1	19	2	
2	5	2	
3	10	2	
4	0	2	
5	7	2	
6	1	2	
7	2	2	
0	600	3	
1	21	3	
2	6	3	
3	10	3	
4	2	3	
5	7	3	
6	3	3	
7	3	3	
0	800	4	
1	23	4	
2	7	4	
3	10	4	
4	4	4	
5	7	4	
6	5	4	
7	4	4	
8	6	4	
0	1000	5	
1	25	5	
2	8	5	
3	10	5	
4	7	5	
5	7	5	
6	8	5	
7	5	5	
8	9	5	
0	1000	6	
1	27	6	
2	9	6	
3	10	6	
4	10	6	
5	7	6	
6	11	6	
7	6	6	
8	12	6	
0	1000	7	
1	29	7	
2	10	7	
3	10	7	
4	13	7	
5	7	7	
6	14	7	
7	7	7	
8	15	7	
end																
